player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_rating
MorrQu00,TE,Quintin Morris,BUF,0,0,0,0,0,0,0,0,11,8,84,1,1,0,0,0,0.0
MossZa00,RB,Zack Moss,IND,0,0,0,0,0,93,456,1,13,11,39,0,1,0,0,0,0.0
MostRa00,RB,Raheem Mostert,MIA,0,0,0,0,0,181,891,3,42,31,202,2,1,0,0,0,0.0
MullNi00,QB,Nick Mullens,MIN,21,25,224,1,1,4,8,0,0,0,0,0,0,0,0,0,106.08
MundJo00,TE,Johnny Mundt,MIN,0,0,0,0,0,0,0,0,21,19,140,1,0,0,0,0,0.0
MurrKy00,QB,Kyler Murray,ARI,259,390,2368,14,7,67,418,3,0,0,0,0,2,4,0,0,87.21
MurrLa00,RB,Latavius Murray,DEN,0,0,0,0,0,171,760,6,35,27,132,0,0,1,0,0,0.0
MyarCh00,TE,Chris Myarick,NYG,0,0,0,0,0,0,0,0,8,7,65,1,0,0,0,0,0.0
NailJa00,WR,Jalen Nailor,MIN,0,0,0,0,0,0,0,0,13,9,179,1,0,0,0,0,0.0
NjokDa00,TE,David Njoku,CLE,0,0,0,0,0,2,-8,0,80,58,628,4,1,0,0,0,0.0
NwanKe00,RB,Kene Nwangwu,MIN,0,0,0,0,0,9,14,0,2,2,21,0,0,0,0,0,0.0
OgunDa00,RB,Dare Ogunbowale,HOU,0,0,0,0,0,42,123,1,26,20,104,0,0,0,0,0,0.0
OkonCh00,TE,Chigoziem Okonkwo,TEN,0,0,0,0,0,3,2,0,46,32,450,3,0,1,0,0,0.0
OkwuAl00,TE,Albert Okwuegbunam,DEN,0,0,0,0,0,0,0,0,18,10,95,1,0,0,0,0,0.0
OlavCh00,WR,Chris Olave,NOR,0,0,0,0,0,0,0,0,119,72,1042,4,2,1,0,0,0.0
OlivJo00,TE,Josh Oliver,BAL,0,0,0,0,0,0,0,0,25,14,149,2,0,0,0,0,0.0
OlliQa00,RB,Qadree Ollison,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
OlszGu00,WR,Gunner Olszewski,PIT,0,0,0,0,0,8,39,0,7,5,53,0,1,0,0,0,0.0
OsboKJ00,WR,K.J. Osborn,MIN,0,0,0,0,0,3,6,0,90,60,650,5,0,0,0,0,0.0
OttoCa00,TE,Cade Otton,TAM,0,0,0,0,0,0,0,0,65,42,391,2,0,0,0,0,0.0
OzigDe01,RB,Devine Ozigbo,DEN,0,0,0,0,0,3,4,0,1,1,3,0,0,0,0,0,0.0
PachIs00,RB,Isiah Pacheco,KAN,0,0,0,0,0,170,830,5,14,13,130,0,2,0,0,0,0.0
PalmJo00,WR,Josh Palmer,LAC,0,0,0,0,0,1,4,0,107,72,769,3,0,1,0,0,0.0
